latitude,longitude,Year,TMm
-42.25,146.00,1940,8.89
-42.25,146.00,1950,9.09
-42.25,146.00,1960,9.11
-42.25,146.00,1970,8.90
-42.25,146.00,1980,9.71
-42.25,146.00,1990,9.46
-42.25,146.00,2000,9.94
-42.25,146.00,2010,9.66
-42.25,146.00,2020,9.47
-42.25,146.25,1910,7.89
-42.25,146.25,1920,7.80
-42.25,146.25,1930,7.89
-42.25,146.25,1940,7.62
-42.25,146.25,1950,7.77
-42.25,146.25,1960,7.80
-42.25,146.25,1970,7.56
-42.25,146.25,1980,8.36
-42.25,146.25,1990,8.09
-42.25,146.25,2000,8.59
-42.25,146.25,2010,8.31
-42.25,146.25,2020,8.09
-42.25,146.50,1910,8.48
-42.25,146.50,1920,8.38
-42.25,146.50,1930,8.49
-42.25,146.50,1940,8.22
-42.25,146.50,1950,8.34
-42.25,146.50,1960,8.36
-42.25,146.50,1970,8.10
-42.25,146.50,1980,8.98
-42.25,146.50,1990,8.72
-42.25,146.50,2000,9.20
-42.25,146.50,2010,8.94
-42.25,146.50,2020,8.69
-42.25,146.75,1910,9.35
-42.25,146.75,1920,9.25
-42.25,146.75,1930,9.36
-42.25,146.75,1940,9.12
-42.25,146.75,1950,9.19
-42.25,146.75,1960,9.21
-42.25,146.75,1970,8.94
-42.25,146.75,1980,9.82
-42.25,146.75,1990,9.57
-42.25,146.75,2000, 10.04
-42.25,146.75,2010,9.78
-42.25,146.75,2020,9.53
-42.25,147.00,1910,8.49
-42.25,147.00,1920,8.36
-42.25,147.00,1930,8.48
-42.25,147.00,1940,8.26
-42.25,147.00,1950,8.28
-42.25,147.00,1960,8.29
-42.25,147.00,1970,8.03
-42.25,147.00,1980,8.91
-42.25,147.00,1990,8.67
-42.25,147.00,2000,9.12
-42.25,147.00,2010,8.85
-42.25,147.00,2020,8.63
-42.25,147.25,1910,8.71
-42.25,147.25,1920,8.54
-42.25,147.25,1930,8.66
-42.25,147.25,1940,8.47
-42.25,147.25,1950,8.43
-42.25,147.25,1960,8.44
-42.25,147.25,1970,8.21
-42.25,147.25,1980,9.04
-42.25,147.25,1990,8.82
-42.25,147.25,2000,9.25
-42.25,147.25,2010,8.98
-42.25,147.25,2020,8.80
-42.25,147.50,1910, 10.40
-42.25,147.50,1920, 10.20
-42.25,147.50,1930, 10.32
-42.25,147.50,1940, 10.17
-42.25,147.50,1950, 10.07
-42.25,147.50,1960, 10.05
-42.25,147.50,1970,9.88
-42.25,147.50,1980, 10.64
-42.25,147.50,1990, 10.43
-42.25,147.50,2000, 10.86
-42.25,147.50,2010, 10.60
-42.25,147.50,2020, 10.46
-42.25,147.75,1910,9.71
-42.25,147.75,1920,9.50
-42.25,147.75,1930,9.63
-42.25,147.75,1940,9.51
-42.25,147.75,1950,9.36
-42.25,147.75,1960,9.30
-42.25,147.75,1970,9.22
-42.25,147.75,1980,9.97
-42.25,147.75,1990,9.79
-42.25,147.75,2000, 10.21
-42.25,147.75,2010,9.97
-42.25,147.75,2020,9.88
-42.25,148.00,1910, 12.77
-42.25,148.00,1920, 12.55
-42.25,148.00,1930, 12.69
-42.25,148.00,1940, 12.60
-42.25,148.00,1950, 12.40
-42.25,148.00,1960, 12.30
-42.25,148.00,1970, 12.32
-42.25,148.00,1980, 13.04
-42.25,148.00,1990, 12.87
-42.25,148.00,2000, 13.30
-42.25,148.00,2010, 13.09
-42.25,148.00,2020, 13.02
-42.00,145.25,1910, 11.86
-42.00,145.25,1920, 11.76
-42.00,145.25,1930, 11.78
-42.00,145.25,1940, 11.50
-42.00,145.25,1950, 11.70
-42.00,145.25,1960, 11.66
-42.00,145.25,1970, 11.67
-42.00,145.25,1980, 12.47
-42.00,145.25,1990, 12.38
-42.00,145.25,2000, 12.72
-42.00,145.25,2010, 12.35
-42.00,145.25,2020, 12.28
-42.00,145.50,1910, 10.48
-42.00,145.50,1920, 10.39
-42.00,145.50,1930, 10.41
-42.00,145.50,1940, 10.14
-42.00,145.50,1950, 10.37
-42.00,145.50,1960, 10.35
-42.00,145.50,1970, 10.31
-42.00,145.50,1980, 11.10
-42.00,145.50,1990, 10.99
-42.00,145.50,2000, 11.34
-42.00,145.50,2010, 11.00
-42.00,145.50,2020, 10.89
-42.00,145.75,1910,8.37
-42.00,145.75,1920,8.29
-42.00,145.75,1930,8.32
-42.00,145.75,1940,8.06
-42.00,145.75,1950,8.30
-42.00,145.75,1960,8.27
-42.00,145.75,1970,8.18
-42.00,145.75,1980,8.99
-42.00,145.75,1990,8.85
-42.00,145.75,2000,9.21
-42.00,145.75,2010,8.92
-42.00,145.75,2020,8.76
-42.00,146.00,1910,7.27
-42.00,146.00,1920,7.19
-42.00,146.00,1930,7.25
-42.00,146.00,1940,6.96
-42.00,146.00,1950,7.16
-42.00,146.00,1960,7.14
-42.00,146.00,1970,7.01
-42.00,146.00,1980,7.84
-42.00,146.00,1990,7.67
-42.00,146.00,2000,8.04
-42.00,146.00,2010,7.80
-42.00,146.00,2020,7.60
-42.00,146.25,1910,6.23
-42.00,146.25,1920,6.14
-42.00,146.25,1930,6.23
-42.00,146.25,1940,5.92
-42.00,146.25,1950,6.10
-42.00,146.25,1960,6.08
-42.00,146.25,1970,5.91
-42.00,146.25,1980,6.77
-42.00,146.25,1990,6.59
-42.00,146.25,2000,6.97
-42.00,146.25,2010,6.75
-42.00,146.25,2020,6.52
-42.00,146.50,1910,5.92
-42.00,146.50,1920,5.85
-42.00,146.50,1930,5.94
-42.00,146.50,1940,5.64
-42.00,146.50,1950,5.80
-42.00,146.50,1960,5.78
-42.00,146.50,1970,5.58
-42.00,146.50,1980,6.46
-42.00,146.50,1990,6.27
-42.00,146.50,2000,6.65
-42.00,146.50,2010,6.46
-42.00,146.50,2020,6.20
-42.00,146.75,1910,6.37
-42.00,146.75,1920,6.29
-42.00,146.75,1930,6.38
-42.00,146.75,1940,6.10
-42.00,146.75,1950,6.23
-42.00,146.75,1960,6.22
-42.00,146.75,1970,5.99
-42.00,146.75,1980,6.88
-42.00,146.75,1990,6.69
-42.00,146.75,2000,7.06
-42.00,146.75,2010,6.87
-42.00,146.75,2020,6.61
-42.00,147.00,1910,6.71
-42.00,147.00,1920,6.61
-42.00,147.00,1930,6.71
-42.00,147.00,1940,6.44
-42.00,147.00,1950,6.53
-42.00,147.00,1960,6.53
-42.00,147.00,1970,6.29
-42.00,147.00,1980,7.18
-42.00,147.00,1990,7.00
-42.00,147.00,2000,7.36
-42.00,147.00,2010,7.16
-42.00,147.00,2020,6.92
-42.00,147.25,1910, 10.71
-42.00,147.25,1920, 10.58
-42.00,147.25,1930, 10.68
-42.00,147.25,1940, 10.44
-42.00,147.25,1950, 10.50
-42.00,147.25,1960, 10.48
-42.00,147.25,1970, 10.27
-42.00,147.25,1980, 11.06
-42.00,147.25,1990, 10.89
-42.00,147.25,2000, 11.24
-42.00,147.25,2010, 11.03
