latitude,longitude,Year,TXm
-36,148,2019,21.43
-36,148,2020,20.64
-36,148,2021,19.61
-36,148,2022,19.41
-36,149,2000,15.7
-36,149,2001,16.1
-36,149,2002,16.43
-36,149,2003,15.96
-36,149,2004,16.36
-36,149,2005,16.45
-36,149,2006,17.16
-36,149,2007,16.41
-36,149,2008,15.91
-36,149,2009,16.81
-36,149,2010,15.88
-36,149,2011,15.63
-36,149,2012,15.45
-36,149,2013,16.75
-36,149,2014,16.79
-36,149,2015,16.11
-36,149,2016,16.46
-36,149,2017,16.45
-36,149,2018,16.93
-36,149,2019,17.48
-36,149,2020,16.2
-36,149,2021,15.13
-36,149,2022,14.66
-36,150,2000,20.42
-36,150,2001,20.81
-36,150,2002,20.72
-36,150,2003,20.29
-36,150,2004,20.75
-36,150,2005,20.66
-36,150,2006,20.66
-36,150,2007,20.75
-36,150,2008,20.32
-36,150,2009,21.05
-36,150,2010,20.42
-36,150,2011,20.18
-36,150,2012,20.02
-36,150,2013,21.09
-36,150,2014,20.99
-36,150,2015,20.63
-36,150,2016,21.43
-36,150,2017,21.09
-36,150,2018,21.18
-36,150,2019,21.37
-36,150,2020,20.81
-36,150,2021,20.14
-36,150,2022,19.97
-35,117,2000,20.72
-35,117,2001,20.11
-35,117,2002,20.81
-35,117,2003,20.79
-35,117,2004,20.39
-35,117,2005,19.84
-35,117,2006,20.67
-35,117,2007,20.44
-35,117,2008,20.11
-35,117,2009,20.3
-35,117,2010,20.79
-35,117,2011,21.19
-35,117,2012,21.55
-35,117,2013,21.15
-35,117,2014,21.13
-35,117,2015,21.18
-35,117,2016,19.92
-35,117,2017,20.45
-35,117,2018,20.51
-35,117,2019,21.08
-35,117,2020,20.99
-35,117,2021,20.54
-35,117,2022,20.39
-35,118,2000,19.64
-35,118,2001,18.98
-35,118,2002,19.45
-35,118,2003,19.69
-35,118,2004,19.51
-35,118,2005,19.09
-35,118,2006,19.65
-35,118,2007,19.6
-35,118,2008,19.23
-35,118,2009,19.5
-35,118,2010,19.77
-35,118,2011,20.16
-35,118,2012,20.82
-35,118,2013,20.36
-35,118,2014,20.55
-35,118,2015,20.58
-35,118,2016,19.4
-35,118,2017,19.86
-35,118,2018,20.03
-35,118,2019,20.42
-35,118,2020,20.41
-35,118,2021,19.87
-35,118,2022,19.73
-35,137,2000,21.35
-35,137,2001,21.03
-35,137,2002,21.31
-35,137,2003,20.89
-35,137,2004,21.16
-35,137,2005,21.48
-35,137,2006,21.26
-35,137,2007,21.93
-35,137,2008,21.31
-35,137,2009,21.87
-35,137,2010,20.96
-35,137,2011,21.12
-35,137,2012,21.51
-35,137,2013,22.13
-35,137,2014,21.87
-35,137,2015,21.52
-35,137,2016,21.15
-35,137,2017,21.82
-35,137,2018,21.86
-35,137,2019,21.97
-35,137,2020,21.06
-35,137,2021,21.15
-35,137,2022,20.8
